  UP pe -0.072032000 ac -0.000011294 pa -0.000047985 int  0.999941 
  UP pe -0.074204000 ac -0.000011359 pa -0.000049431 int  0.999939 
  UP pe -0.072710000 ac -0.000011424 pa -0.000048436 int  0.999940 
  UP pe -0.072137000 ac -0.000011488 pa -0.000048054 int  0.999940 
  UP pe -0.071416000 ac -0.000011552 pa -0.000047574 int  0.999941 
  UP pe -0.073864000 ac -0.000011617 pa -0.000049205 int  0.999939 
  UP pe -0.069116000 ac -0.000011679 pa -0.000046042 int  0.999942 
  UP pe -0.072052000 ac -0.000011743 pa -0.000047998 int  0.999940 
  UP pe -0.073066000 ac -0.000011808 pa -0.000048673 int  0.999940 
  UP pe -0.069935000 ac -0.000011870 pa -0.000046588 int  0.999942 
  UP pe -0.072140000 ac -0.000011934 pa -0.000048056 int  0.999940 
  UP pe -0.071100000 ac -0.000011997 pa -0.000047364 int  0.999941 
  UP pe -0.070003000 ac -0.000012059 pa -0.000046633 int  0.999941 
  UP pe -0.068502000 ac -0.000012120 pa -0.000045633 int  0.999942 
  UP pe -0.071762000 ac -0.000012184 pa -0.000047805 int  0.999940 
  UP pe -0.071819000 ac -0.000012248 pa -0.000047843 int  0.999940 
  UP pe -0.070908000 ac -0.000012310 pa -0.000047236 int  0.999940 
  UP pe -0.071833000 ac -0.000012374 pa -0.000047852 int  0.999940 
  UP pe -0.068798000 ac -0.000012435 pa -0.000045830 int  0.999942 
  UP pe -0.069843000 ac -0.000012497 pa -0.000046526 int  0.999941 
  UP pe -0.072734000 ac -0.000012562 pa -0.000048452 int  0.999939 
  UP pe -0.071695000 ac -0.000012626 pa -0.000047760 int  0.999940 
  UP pe -0.071860000 ac -0.000012690 pa -0.000047870 int  0.999939 
  UP pe -0.068991000 ac -0.000012751 pa -0.000045959 int  0.999941 
  UP pe -0.068455000 ac -0.000012812 pa -0.000045602 int  0.999942 
  UP pe -0.071771000 ac -0.000012875 pa -0.000047811 int  0.999939 
  UP pe -0.071502000 ac -0.000012939 pa -0.000047631 int  0.999939 
  UP pe -0.069291000 ac -0.000013001 pa -0.000046159 int  0.999941 
  UP pe -0.068976000 ac -0.000013062 pa -0.000045949 int  0.999941 
  UP pe -0.071681000 ac -0.000013126 pa -0.000047751 int  0.999939 
  UP pe -0.067952000 ac -0.000013186 pa -0.000045267 int  0.999942 
  UP pe -0.071328000 ac -0.000013249 pa -0.000047516 int  0.999939 
  UP pe -0.071512000 ac -0.000013313 pa -0.000047638 int  0.999939 
  UP pe -0.071389000 ac -0.000013376 pa -0.000047556 int  0.999939 
  UP pe -0.067623000 ac -0.000013436 pa -0.000045047 int  0.999942 
  UP pe -0.068392000 ac -0.000013497 pa -0.000045560 int  0.999941 
  UP pe -0.069611000 ac -0.000013559 pa -0.000046372 int  0.999940 
  UP pe -0.067600000 ac -0.000013619 pa -0.000045032 int  0.999941 
  UP pe -0.071284000 ac -0.000013682 pa -0.000047486 int  0.999939 
  UP pe -0.067394000 ac -0.000013742 pa -0.000044895 int  0.999941 
  UP pe -0.067479000 ac -0.000013802 pa -0.000044951 int  0.999941 
  UP pe -0.068264000 ac -0.000013863 pa -0.000045474 int  0.999941 
  UP pe -0.069832000 ac -0.000013925 pa -0.000046519 int  0.999940 
  UP pe -0.068896000 ac -0.000013986 pa -0.000045895 int  0.999940 
  UP pe -0.066921000 ac -0.000014045 pa -0.000044580 int  0.999941 
  UP pe -0.071586000 ac -0.000014109 pa -0.000047687 int  0.999938 
  UP pe -0.070909000 ac -0.000014172 pa -0.000047236 int  0.999939 
  UP pe -0.068981000 ac -0.000014233 pa -0.000045952 int  0.999940 
  UP pe -0.068594000 ac -0.000014294 pa -0.000045694 int  0.999940 
  UP pe -0.066353000 ac -0.000014353 pa -0.000044201 int  0.999941 
  UP pe -0.069220000 ac -0.000014415 pa -0.000046111 int  0.999939 
  UP pe -0.067861000 ac -0.000014475 pa -0.000045206 int  0.999940 
  UP pe -0.068518000 ac -0.000014536 pa -0.000045644 int  0.999940 
  UP pe -0.066705000 ac -0.000014595 pa -0.000044436 int  0.999941 
  UP pe -0.068928000 ac -0.000014656 pa -0.000045917 int  0.999939 
  UP pe -0.067551000 ac -0.000014716 pa -0.000044999 int  0.999940 
  UP pe -0.070544000 ac -0.000014779 pa -0.000046993 int  0.999938 
  UP pe -0.066123000 ac -0.000014838 pa -0.000044048 int  0.999941 
  UP pe -0.068927000 ac -0.000014899 pa -0.000045916 int  0.999939 
  UP pe -0.070126000 ac -0.000014961 pa -0.000046715 int  0.999938 
  UP pe -0.070161000 ac -0.000015024 pa -0.000046738 int  0.999938 
  UP pe -0.068086000 ac -0.000015084 pa -0.000045356 int  0.999940 
  UP pe -0.067435000 ac -0.000015144 pa -0.000044922 int  0.999940 
  UP pe -0.067537000 ac -0.000015204 pa -0.000044990 int  0.999940 
  UP pe -0.065719000 ac -0.000015262 pa -0.000043779 int  0.999941 
  UP pe -0.067658000 ac -0.000015323 pa -0.000045071 int  0.999940 
  UP pe -0.067257000 ac -0.000015382 pa -0.000044804 int  0.999940 
  UP pe -0.066931000 ac -0.000015442 pa -0.000044586 int  0.999940 
